trial_id,step_name,experiment_mode,success,fallback_used,ik_time_sec,rrt_planning_sec,shortcut_time_sec,initial_guess_time_sec,solve_time_sec,total_compute_sec,exec_wait_sec,num_rrt_points,num_shortcut_waypoints,num_optimized_points,trajectory_duration_sec,joint_path_length,mean_joint_velocity,max_joint_velocity,mean_joint_acceleration,max_joint_acceleration,mean_joint_jerk,max_joint_jerk,mean_torque,max_torque,mean_torque_rate,max_torque_rate,max_constraint_violation,final_cost,solver_status,message
1,pre_grasp,rrt_trajopt,1,0,0.500301,0.038118,0.217285,0.006004,0.154710,6.947616,6.017513,40,5,100,4.817245,3.400942,0.204537,0.996139,0.133119,0.864423,0.177931,9.277007,10.792745,33.824192,0.441461,4.767117,nan,6.023016,converged,
1,pre_grasp,rrt_trajopt,0,0,0.500871,0.032833,0.000000,0.000000,0.000000,0.536040,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,RRT planning failed
2,pre_grasp,rrt_trajopt,1,0,0.501210,0.037130,0.148427,0.006209,0.141554,6.385092,5.537909,31,8,100,4.337674,2.717100,0.193595,0.810512,0.140966,0.786842,0.210784,9.447379,10.564559,71.920096,3.564560,37.887257,nan,5.383530,converged,
3,pre_grasp,rrt_trajopt,1,0,0.500993,0.038232,0.000701,0.000676,0.131134,6.239301,5.553114,31,9,100,4.352761,2.737486,0.194319,0.815051,0.140966,0.788252,0.210004,9.429153,10.566040,71.908746,3.559522,37.796627,nan,5.403689,converged,
1,pre_grasp,rrt_trajopt,1,0,0.500317,0.038386,0.216667,0.010817,0.136908,4.244811,3.822566,14,9,100,2.622110,0.898634,0.133607,0.382415,0.169148,0.645778,0.439907,13.481375,11.004812,33.780806,0.845952,6.993725,nan,3.096034,converged,
2,pre_place,rrt_trajopt,1,0,0.501142,0.042355,0.000685,0.000616,0.155198,5.184366,4.975716,50,10,100,3.775415,2.013115,0.178577,0.644548,0.151066,0.726928,0.262439,10.140095,12.005683,49.526577,1.195495,12.302995,nan,4.633921,converged,
1,pre_grasp,rrt_trajopt,1,0,0.500255,0.028633,0.954580,0.068016,0.142349,3.780739,2.552464,13,10,100,2.520227,0.821576,0.130860,0.343966,0.173284,0.607281,0.471224,13.260149,10.922199,34.296258,1.018231,9.608538,nan,2.960318,converged,
2,pre_place,rrt_trajopt,1,0,0.500338,0.028618,0.000378,0.000435,0.141548,4.034647,3.852994,29,7,100,3.766151,2.002351,0.177542,0.645216,0.150593,0.729714,0.262310,10.206023,12.131435,50.439763,1.249807,13.777608,nan,4.621516,converged,
3,return_home,rrt_trajopt,1,0,0.000000,0.035010,0.000372,0.000442,0.137646,3.534991,3.352572,22,4,100,3.301917,1.501915,0.144745,0.515740,0.141760,0.673391,0.285115,10.874912,13.794397,53.549646,1.055916,10.237056,nan,4.002552,converged,
