trial_id,step_name,experiment_mode,success,fallback_used,ik_time_sec,rrt_planning_sec,shortcut_time_sec,initial_guess_time_sec,solve_time_sec,total_compute_sec,exec_wait_sec,num_rrt_points,num_shortcut_waypoints,num_optimized_points,trajectory_duration_sec,joint_path_length,mean_joint_velocity,max_joint_velocity,mean_joint_acceleration,max_joint_acceleration,mean_joint_jerk,max_joint_jerk,mean_torque,max_torque,mean_torque_rate,max_torque_rate,max_constraint_violation,final_cost,solver_status,message
1,pre_grasp,rrt_only,1,0,0.500980,0.052862,0.000000,0.000000,0.000000,0.855731,0.802435,9,0,9,0.741144,0.279566,0.076363,0.511716,0.447687,1.500000,1.798742,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,rrt_only,
2,grasp_approach,rrt_only,0,0,0.501159,0.033908,0.000000,0.000000,0.000000,0.033937,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,planning failed (RRTConnect)
3,pre_grasp,rrt_only,1,0,0.502291,0.051983,0.000000,0.000000,0.000000,4.855159,4.802828,49,0,49,4.720042,3.004181,0.168669,0.628319,0.196325,1.500000,0.821589,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,rrt_only,
4,grasp_approach,rrt_only,0,0,0.502451,0.044505,0.000000,0.000000,0.000000,0.044546,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,planning failed (RRTConnect)
5,pre_grasp,rrt_only,1,0,0.500320,0.038451,0.000000,0.000000,0.000000,1.041989,1.003324,11,0,11,0.955495,0.340972,0.063494,0.628319,0.255010,1.500000,0.865776,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,rrt_only,
6,grasp_approach,rrt_only,0,0,0.500369,0.064734,0.000000,0.000000,0.000000,0.064777,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,planning failed (RRTConnect)
7,pre_grasp,rrt_only,1,0,0.502690,0.035110,0.000000,0.000000,0.000000,3.987526,3.952110,40,0,40,3.830447,3.408309,0.228505,0.942478,0.147650,1.500000,0.298886,7.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,rrt_only,
8,grasp_approach,rrt_only,1,0,0.500379,0.030828,0.000000,0.000000,0.000000,1.033529,1.002559,11,0,11,0.963414,0.430527,0.110896,0.695121,0.478603,1.500000,1.462399,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,rrt_only,
9,pre_grasp,rrt_only,1,0,0.503421,0.064419,0.000000,0.000000,0.000000,3.067023,3.002419,31,0,31,2.973355,2.745259,0.257251,0.942478,0.227168,1.500000,0.466990,7.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,rrt_only,
10,grasp_approach,rrt_only,1,0,0.502252,0.035042,0.000000,0.000000,0.000000,0.787436,0.752284,9,0,9,0.741865,0.279675,0.076433,0.512798,0.447154,1.500000,1.796601,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,rrt_only,
