segment_id,cum_ee_m,cum_shoulder_pan_joint_rad,cum_shoulder_lift_joint_rad,cum_elbow_joint_rad,cum_wrist_1_joint_rad,cum_wrist_2_joint_rad,cum_wrist_3_joint_rad,cum_shoulder_pan_joint_deg,cum_shoulder_lift_joint_deg,cum_elbow_joint_deg,cum_wrist_1_joint_deg,cum_wrist_2_joint_deg,cum_wrist_3_joint_deg,
1,0.259632,0.423150,0.152139,0.321870,0.111493,0.048885,0.318914,24.244710,8.716910,18.441782,6.388091,2.800926,18.272411,
2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
5,0.125840,0.153894,0.030177,0.220857,0.056812,0.012256,0.117133,8.817463,1.729027,12.654194,3.255103,0.702211,6.711216,
6,0.900859,1.486679,0.360926,0.060291,0.305398,0.163278,1.124499,85.180404,20.679523,3.454409,17.498007,9.355168,64.429034,
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
8,0.757595,1.141306,0.891409,0.563753,0.319267,0.228679,0.843897,65.392031,51.074002,32.300693,18.292636,13.102317,48.351744,
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
13,0.137603,0.094773,0.267682,0.300015,0.070949,0.026804,0.068994,5.430078,15.337052,17.189606,4.065099,1.535771,3.953057,
14,0.837237,1.560785,0.017922,0.010632,0.018698,0.175788,1.180523,89.426404,1.026839,0.609149,1.071295,10.071896,67.638995,
15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
17,0.635004,1.126996,0.433713,0.628432,0.069399,0.233620,0.814071,64.572135,24.849907,36.006484,3.976244,13.385412,46.642854,
18,0.872815,1.454956,0.400679,0.569398,0.000960,0.097625,1.124215,83.362836,22.957188,32.624103,0.055031,5.593502,64.412779,
19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
21,0.848977,1.327368,0.273744,0.170471,0.088499,0.142861,1.010561,76.052610,15.684394,9.767265,5.070602,8.185330,57.900889,
22,0.828387,1.318034,0.155705,0.147755,0.067890,0.108414,1.014919,75.517803,8.921265,8.465740,3.889827,6.211691,58.150591,
23,0.622620,0.976309,0.310538,0.526369,0.218221,0.000796,0.976265,55.938367,17.792514,30.158701,12.503137,0.045620,55.935839,
24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
25,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
26,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
30,0.293591,0.538981,0.027860,0.198110,0.129739,0.062910,0.407118,30.881316,1.596258,11.350891,7.433481,3.604452,23.326151,
31,0.788070,1.472337,0.114526,0.067302,0.130091,0.176372,1.108027,84.358712,6.561865,3.856139,7.453641,10.105370,63.485289,
32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
