segment_id,cum_ee_m,cum_shoulder_pan_joint_rad,cum_shoulder_lift_joint_rad,cum_elbow_joint_rad,cum_wrist_1_joint_rad,cum_wrist_2_joint_rad,cum_wrist_3_joint_rad,cum_shoulder_pan_joint_deg,cum_shoulder_lift_joint_deg,cum_elbow_joint_deg,cum_wrist_1_joint_deg,cum_wrist_2_joint_deg,cum_wrist_3_joint_deg,
1,0.259590,0.423123,0.152165,0.321736,0.111346,0.048836,0.318836,24.243137,8.718429,18.434106,6.379664,2.798117,18.267929,
2,1.395639,1.604959,1.264896,1.818398,0.161216,0.156006,1.101056,91.957364,72.473223,104.186543,9.237023,8.938460,63.085850,
3,0.883243,1.119861,0.508035,2.059854,1.102725,0.077638,2.147194,64.163290,29.108266,118.020962,63.181511,4.448306,123.025173,
4,0.192519,0.371996,0.031645,0.007075,0.060561,0.042159,0.283789,21.313803,1.813106,0.405388,3.469900,2.415511,16.259889,
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
6,0.046487,0.046218,0.089776,0.031896,0.007744,0.007626,0.033281,2.648084,5.143797,1.827499,0.443720,0.436918,1.906835,
7,1.831740,3.016236,1.027351,1.046120,0.398819,0.149133,1.000614,172.817584,58.862851,59.938242,22.850653,8.544704,57.330980,
8,1.375430,1.013026,0.221672,1.615829,1.173292,0.950211,1.013035,58.042092,12.700882,92.580168,67.224679,54.443107,58.042639,
9,0.164941,0.280118,0.110861,0.045044,0.017007,0.031118,0.213909,16.049592,6.351847,2.580852,0.974412,1.782923,12.256083,
10,1.241709,2.205340,0.360841,1.619332,2.497307,2.740285,1.639927,126.356651,20.674657,92.780868,143.085162,157.006738,93.960882,
11,0.000913,0.000000,0.000124,0.000310,0.000434,0.000000,0.000000,0.000005,0.007083,0.017774,0.024853,0.000010,0.000017,
12,1.173089,1.141297,0.891203,1.002918,1.184076,0.492488,3.216605,65.391475,51.062145,57.462968,67.842576,28.217468,184.297909,
13,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
14,0.272604,0.027143,0.469477,0.619415,0.052061,0.025124,0.023744,1.555171,26.899042,35.489853,2.982903,1.439476,1.360447,
15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
16,0.160906,0.010442,0.335390,0.376592,0.015930,0.018256,0.001955,0.598258,19.216411,21.577160,0.912714,1.046007,0.111995,
17,0.863401,1.212578,0.465169,0.522032,0.557941,0.614392,0.923002,69.475627,26.652223,29.910213,31.967681,35.202088,52.884096,
18,0.000317,0.000000,0.000058,0.000327,0.000386,0.000000,0.000000,0.000001,0.003347,0.018744,0.022092,0.000002,0.000004,
19,0.723030,1.262193,0.947526,1.203974,2.244661,0.286072,1.684722,72.318327,54.289220,68.982642,128.609616,16.390716,96.527464,
20,1.150190,2.303297,0.394555,0.286620,0.088549,1.277823,1.189406,131.969178,22.606354,16.422122,5.073467,73.213865,68.147958,
21,0.892182,1.086392,0.218889,0.956559,0.173219,0.316866,1.086425,62.245653,12.541432,54.806816,9.924698,18.155097,62.247567,
22,0.292148,0.553544,0.012586,0.091541,0.080455,0.064382,0.420013,31.715729,0.721106,5.244930,4.609730,3.688825,24.064944,
23,0.913381,1.560482,0.135328,0.837855,0.557113,0.175678,1.180381,89.409057,7.753746,48.005542,31.920252,10.065583,67.630839,
24,0.629803,1.119397,0.014737,0.624307,0.412507,0.647043,1.119628,64.136716,0.844366,35.770152,23.634884,37.072811,64.149954,
25,0.153830,0.275181,0.121979,0.024952,0.143676,0.030385,0.209417,15.766689,6.988856,1.429659,8.232002,1.740934,11.998690,
26,1.345708,2.031447,0.195123,1.218074,0.202127,0.117426,1.289956,116.393337,11.179699,69.790515,11.581003,6.728042,73.909053,
27,1.138590,0.917626,0.481342,1.450003,0.279778,0.083734,0.917868,52.576099,27.578868,83.079054,16.030077,4.797608,52.589973,
28,0.285198,0.416008,0.146439,0.457053,0.197314,0.047638,0.311866,23.835519,8.390360,26.187201,11.305248,2.729465,17.868581,
29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
30,0.158551,0.023642,0.116245,0.394398,0.090269,0.016155,0.016879,1.354603,6.660335,22.597314,5.172028,0.925636,0.967104,
31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
32,0.070258,0.097630,0.054297,0.046624,0.058254,0.007292,0.074178,5.593805,3.110971,2.671380,3.337702,0.417824,4.250067,
33,0.827707,1.317522,0.155733,0.147651,0.067784,0.108353,1.014590,75.488431,8.922846,8.459793,3.883709,6.208160,58.131713,
