time_sec,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0.000000,1.570000,-1.570000,1.569859,-1.570371,-1.570000,-1.570000
0.100000,1.574312,-1.570138,1.570884,-1.571253,-1.570009,-1.577500
0.200000,1.587249,-1.570552,1.573960,-1.573901,-1.570034,-1.600000
0.300000,1.608811,-1.571243,1.579086,-1.578313,-1.570077,-1.637500
0.400000,1.638997,-1.572210,1.586263,-1.584491,-1.570137,-1.690000
0.500000,1.677808,-1.573453,1.595489,-1.592434,-1.570214,-1.757500
0.600000,1.725244,-1.574972,1.606767,-1.602142,-1.570308,-1.840000
0.700000,1.779088,-1.576696,1.619567,-1.613161,-1.570415,-1.933646
0.800000,1.833278,-1.578432,1.632451,-1.624251,-1.570523,-2.027894
0.900000,1.887468,-1.580167,1.645334,-1.635342,-1.570630,-2.122142
1.000000,1.941659,-1.581903,1.658217,-1.646432,-1.570738,-2.216390
1.100000,1.995053,-1.583613,1.670911,-1.657359,-1.570844,-2.309254
1.200000,2.041227,-1.585092,1.681888,-1.666809,-1.570935,-2.389559
1.300000,2.078776,-1.586294,1.690815,-1.674493,-1.571010,-2.454864
1.400000,2.107700,-1.587221,1.697691,-1.680413,-1.571067,-2.505168
1.500000,2.127999,-1.587871,1.702517,-1.684567,-1.571107,-2.540473
1.600000,2.139674,-1.588245,1.705293,-1.686956,-1.571131,-2.560778
1.685366,2.142817,-1.588345,1.706040,-1.687599,-1.571137,-2.566244
