segment_id,cum_ee_m,cum_shoulder_pan_joint_rad,cum_shoulder_lift_joint_rad,cum_elbow_joint_rad,cum_wrist_1_joint_rad,cum_wrist_2_joint_rad,cum_wrist_3_joint_rad,cum_shoulder_pan_joint_deg,cum_shoulder_lift_joint_deg,cum_elbow_joint_deg,cum_wrist_1_joint_deg,cum_wrist_2_joint_deg,cum_wrist_3_joint_deg,
1,0.296780,0.572871,0.018379,0.136173,0.117383,0.001153,0.996111,32.823076,1.053051,7.802113,6.725565,0.066044,57.072979,
2,0.925687,1.849977,0.001494,0.001460,0.000006,0.002909,1.844095,105.995890,0.085578,0.083630,0.000324,0.166668,105.658866,
3,0.925038,1.850056,0.001529,0.001441,0.000078,0.003011,1.844281,106.000400,0.087620,0.082538,0.004452,0.172503,105.669521,
4,0.925850,1.850074,0.001495,0.001503,0.000068,0.002954,1.844181,106.001427,0.085662,0.086144,0.003892,0.169270,105.663783,
