time_sec,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0.000000,0.287744,-1.588866,1.707119,-1.689049,-1.570796,-4.424645
0.100000,0.295244,-1.588873,1.707125,-1.689049,-1.570784,-4.417168
0.200000,0.317744,-1.588891,1.707143,-1.689048,-1.570748,-4.394739
0.300000,0.355244,-1.588922,1.707172,-1.689046,-1.570686,-4.357356
0.400000,0.407744,-1.588966,1.707213,-1.689044,-1.570601,-4.305020
0.500000,0.470309,-1.589017,1.707261,-1.689041,-1.570499,-4.242650
0.600000,0.533140,-1.589069,1.707310,-1.689039,-1.570397,-4.180015
0.700000,0.595972,-1.589121,1.707359,-1.689036,-1.570295,-4.117379
0.800000,0.658804,-1.589173,1.707408,-1.689033,-1.570192,-4.054743
0.900000,0.721636,-1.589225,1.707457,-1.689031,-1.570090,-3.992107
1.000000,0.784468,-1.589277,1.707506,-1.689028,-1.569988,-3.929472
1.100000,0.847300,-1.589329,1.707555,-1.689025,-1.569886,-3.866836
1.200000,0.910132,-1.589381,1.707604,-1.689023,-1.569783,-3.804200
1.300000,0.972963,-1.589433,1.707653,-1.689020,-1.569681,-3.741565
1.400000,1.035795,-1.589485,1.707702,-1.689017,-1.569579,-3.678929
1.500000,1.098627,-1.589537,1.707751,-1.689015,-1.569477,-3.616293
1.600000,1.161459,-1.589589,1.707800,-1.689012,-1.569374,-3.553657
1.700000,1.224291,-1.589641,1.707848,-1.689010,-1.569272,-3.491022
1.800000,1.287123,-1.589693,1.707897,-1.689007,-1.569170,-3.428386
1.900000,1.349954,-1.589745,1.707946,-1.689004,-1.569068,-3.365750
2.000000,1.412786,-1.589796,1.707995,-1.689002,-1.568965,-3.303114
2.100000,1.475618,-1.589848,1.708044,-1.688999,-1.568863,-3.240479
2.200000,1.538450,-1.589900,1.708093,-1.688996,-1.568761,-3.177843
2.300000,1.601282,-1.589952,1.708142,-1.688994,-1.568659,-3.115207
2.400000,1.664114,-1.590004,1.708191,-1.688991,-1.568556,-3.052572
2.500000,1.726946,-1.590056,1.708240,-1.688988,-1.568454,-2.989936
2.600000,1.789777,-1.590108,1.708289,-1.688986,-1.568352,-2.927300
2.700000,1.852609,-1.590160,1.708338,-1.688983,-1.568250,-2.864664
2.800000,1.915441,-1.590212,1.708387,-1.688980,-1.568147,-2.802029
2.900000,1.978273,-1.590264,1.708436,-1.688978,-1.568045,-2.739393
3.000000,2.038840,-1.590314,1.708483,-1.688975,-1.567947,-2.679015
3.100000,2.085929,-1.590353,1.708519,-1.688973,-1.567870,-2.632073
3.200000,2.118018,-1.590379,1.708544,-1.688972,-1.567818,-2.600084
3.300000,2.135108,-1.590394,1.708558,-1.688971,-1.567790,-2.583048
3.363928,2.138173,-1.590396,1.708560,-1.688971,-1.567785,-2.579992
