segment_id,cum_ee_m,cum_shoulder_pan_joint_rad,cum_shoulder_lift_joint_rad,cum_elbow_joint_rad,cum_wrist_1_joint_rad,cum_wrist_2_joint_rad,cum_wrist_3_joint_rad,cum_shoulder_pan_joint_deg,cum_shoulder_lift_joint_deg,cum_elbow_joint_deg,cum_wrist_1_joint_deg,cum_wrist_2_joint_deg,cum_wrist_3_joint_deg,
1,0.318977,0.466455,0.166678,0.508955,0.213646,0.056485,0.348213,26.725909,9.549961,29.160958,12.241036,3.236353,19.951131,
2,0.875667,1.491040,0.423848,0.521674,0.033558,0.110299,1.149267,85.430312,24.284678,29.889695,1.922749,6.319644,65.848161,
3,0.647527,1.031909,0.285404,0.101753,0.181904,0.000794,1.032009,59.124016,16.352432,5.830015,10.422343,0.045471,59.129737,
4,0.319197,0.466663,0.166688,0.508887,0.213859,0.056519,0.348403,26.737800,9.550536,29.157099,12.253221,3.238297,19.962027,
5,0.025465,0.062739,0.003559,0.073531,0.169868,0.034714,0.047022,3.594656,0.203896,4.213039,9.732747,1.988939,2.694138,
6,0.875432,1.490877,0.423862,0.521684,0.033397,0.110305,1.149137,85.420965,24.285512,29.890273,1.913485,6.320032,65.840705,
