segment_id,cum_ee_m,cum_shoulder_pan_joint_rad,cum_shoulder_lift_joint_rad,cum_elbow_joint_rad,cum_wrist_1_joint_rad,cum_wrist_2_joint_rad,cum_wrist_3_joint_rad,cum_shoulder_pan_joint_deg,cum_shoulder_lift_joint_deg,cum_elbow_joint_deg,cum_wrist_1_joint_deg,cum_wrist_2_joint_deg,cum_wrist_3_joint_deg,
1,0.259505,0.423045,0.152296,0.321839,0.111526,0.048811,0.318896,24.238692,8.725933,18.440003,6.389977,2.796648,18.271405,
2,0.761094,1.451717,0.227613,0.165052,0.088714,0.156037,1.101114,83.177257,13.041245,9.456798,5.082956,8.940248,63.089203,
3,0.590800,1.119758,0.046401,0.157513,0.201588,0.000792,1.119542,64.157433,2.658601,9.024811,11.550139,0.045380,64.145057,
4,0.192566,0.371808,0.031746,0.007106,0.060537,0.042316,0.283685,21.303020,1.818888,0.407170,3.468521,2.424510,16.253959,
5,0.688846,1.184983,0.070772,0.102023,0.026055,0.110650,0.907411,67.894499,4.054935,5.845462,1.492815,6.339778,51.990848,
6,0.501029,0.868382,0.148901,0.283767,0.137118,0.000727,0.868399,49.754607,8.531422,16.258630,7.856277,0.041644,49.755592,
7,0.173462,0.317492,0.052388,0.019971,0.008816,0.036727,0.242645,18.190965,3.001634,1.144262,0.505117,2.104300,13.902539,
8,0.667817,1.222504,0.076399,0.179136,0.174540,0.149032,0.919480,70.044307,4.377348,10.263722,10.000418,8.538910,52.682297,
9,0.519219,1.013083,0.000605,0.146246,0.144416,0.000726,1.012950,58.045354,0.034654,8.379277,8.274401,0.041602,58.037765,
10,0.165510,0.279994,0.110741,0.045120,0.017003,0.031356,0.213800,16.042502,6.344968,2.585200,0.974215,1.796590,12.249844,
11,0.900746,1.486552,0.360894,0.060334,0.305348,0.163229,1.124412,85.173158,20.677729,3.456882,17.495123,9.352331,64.424087,
12,0.762059,1.291550,0.230173,0.140813,0.368530,0.000829,1.291889,74.000348,13.187951,8.068012,21.115218,0.047511,74.019768,
13,0.297875,0.409874,0.300815,0.457910,0.083905,0.048681,0.307978,23.484059,17.235423,26.236306,4.807428,2.789191,17.645817,
14,0.694103,1.472030,0.242415,0.244901,0.054028,0.176678,1.108560,84.341081,13.889334,14.031768,3.095590,10.122892,63.515782,
15,0.569101,1.191284,0.093456,0.192875,0.097436,0.000761,1.191173,68.255533,5.354663,11.050952,5.582677,0.043606,68.249169,
16,0.247400,0.449114,0.203169,0.249577,0.061748,0.051486,0.345550,25.732327,11.640728,14.299715,3.537890,2.949908,19.798568,
17,0.921611,1.489546,0.115551,0.264262,0.055539,0.166643,1.126813,85.344715,6.620563,15.141074,3.182137,9.547967,64.561628,
18,0.627641,1.140902,0.104199,0.095453,0.007972,0.000800,1.140879,65.368878,5.970173,5.469076,0.456788,0.045826,65.367532,
19,0.224926,0.395992,0.126738,0.058215,0.022302,0.046443,0.301528,22.688663,7.261552,3.335466,1.277796,2.660961,17.276300,
20,0.723711,1.213036,0.295549,0.007056,0.236341,0.125189,0.923108,69.501857,16.933702,0.404290,13.541330,7.172811,52.890179,
21,0.506601,0.857160,0.176693,0.010975,0.185207,0.000845,0.857283,49.111675,10.123766,0.628814,10.611574,0.048386,49.118700,
22,0.311262,0.568705,0.099898,0.216383,0.086764,0.069053,0.429076,32.584425,5.723714,12.397829,4.971215,3.956453,24.584270,
23,0.828745,1.568862,0.131172,0.114723,0.045461,0.170273,1.189166,89.889192,7.515585,6.573158,2.604752,9.755910,68.134166,
24,0.566001,1.086307,0.027795,0.049679,0.074970,0.000703,1.086159,62.240789,1.592539,2.846424,4.295437,0.040267,62.232322,
25,0.291895,0.553587,0.012592,0.091383,0.080414,0.064327,0.420067,31.718207,0.721441,5.235874,4.607381,3.685672,24.068056,
