segment_id,cum_ee_m,cum_shoulder_pan_joint_rad,cum_shoulder_lift_joint_rad,cum_elbow_joint_rad,cum_wrist_1_joint_rad,cum_wrist_2_joint_rad,cum_wrist_3_joint_rad,cum_shoulder_pan_joint_deg,cum_shoulder_lift_joint_deg,cum_elbow_joint_deg,cum_wrist_1_joint_deg,cum_wrist_2_joint_deg,cum_wrist_3_joint_deg,
1,0.649825,1.438860,0.174062,0.593687,0.421595,0.000891,3.011095,82.440626,9.973016,34.015734,24.155587,0.051038,172.523056,
2,0.099348,0.008317,0.155144,0.199340,0.347882,0.004603,0.017828,0.476508,8.889116,11.421368,19.932186,0.263731,1.021465,
3,0.099107,0.008456,0.155318,0.199194,0.347982,0.004624,0.017998,0.484507,8.899051,11.412973,19.937897,0.264912,1.031181,
4,0.908041,0.184280,1.370871,0.841056,2.213417,0.000252,0.184347,10.558489,78.545109,48.188965,126.819438,0.014467,10.562326,
5,0.000349,0.000000,0.000003,0.000002,0.000005,0.000000,0.000000,0.000025,0.000188,0.000116,0.000304,0.000000,0.000025,
