segment_id,cum_ee_m,cum_shoulder_pan_joint_rad,cum_shoulder_lift_joint_rad,cum_elbow_joint_rad,cum_wrist_1_joint_rad,cum_wrist_2_joint_rad,cum_wrist_3_joint_rad,cum_shoulder_pan_joint_deg,cum_shoulder_lift_joint_deg,cum_elbow_joint_deg,cum_wrist_1_joint_deg,cum_wrist_2_joint_deg,cum_wrist_3_joint_deg,
1,0.553485,1.014602,0.050469,0.459272,0.219015,0.353855,1.915559,58.132388,2.891671,26.314322,12.548654,20.274411,109.753423,
2,0.627948,1.376510,0.602323,0.079456,0.401638,0.357132,1.008932,78.868217,34.510580,4.552467,23.012151,20.462146,57.807544,
3,0.856819,1.806746,0.087881,0.277469,0.202540,0.289226,1.312408,103.518915,5.035202,15.897812,11.604681,16.571406,75.195467,
4,0.013977,0.002928,0.032997,0.025702,0.077813,0.000670,0.000861,0.167787,1.890614,1.472590,4.458330,0.038372,0.049325,
5,0.013882,0.002760,0.032957,0.025817,0.077742,0.000490,0.000880,0.158142,1.888316,1.479190,4.454293,0.028082,0.050416,
6,0.627690,1.376582,0.602112,0.079534,0.401594,0.357126,1.008835,78.872336,34.498453,4.556982,23.009647,20.461799,57.802001,
7,0.857190,1.806919,0.087882,0.277622,0.202536,0.289324,1.312341,103.528828,5.035252,15.906553,11.604436,16.577063,75.191593,
8,0.013980,0.002903,0.032915,0.025752,0.077799,0.000681,0.000844,0.166318,1.885906,1.475498,4.457555,0.039016,0.048349,
9,0.569426,1.003847,0.141406,0.494720,0.215792,0.356782,1.942895,57.516208,8.101951,28.345341,12.363991,20.442080,111.319683,
10,0.628530,1.376545,0.602273,0.079432,0.401618,0.357017,1.008747,78.870219,34.507706,4.551120,23.011015,20.455540,57.796973,
