segment_id,cum_ee_m,cum_shoulder_pan_joint_rad,cum_shoulder_lift_joint_rad,cum_elbow_joint_rad,cum_wrist_1_joint_rad,cum_wrist_2_joint_rad,cum_wrist_3_joint_rad,cum_shoulder_pan_joint_deg,cum_shoulder_lift_joint_deg,cum_elbow_joint_deg,cum_wrist_1_joint_deg,cum_wrist_2_joint_deg,cum_wrist_3_joint_deg,
1,0.259679,0.423102,0.152213,0.321965,0.111252,0.048904,0.318884,24.241940,8.721188,18.447216,6.374277,2.802009,18.270715,
2,1.004887,1.451633,0.227534,0.687603,0.317210,2.456241,2.566897,83.172431,13.036757,39.396763,18.174776,140.732256,147.072379,
3,0.345250,0.689173,0.028752,0.098583,0.157038,0.210286,0.688867,39.486685,1.647377,5.648401,8.997643,12.048491,39.469187,
4,0.031901,0.094971,0.002218,0.001055,0.040540,0.172761,0.073336,5.441461,0.127079,0.060475,2.322749,9.898487,4.201830,
5,0.051386,0.116756,0.017409,0.003583,0.021947,0.132085,0.092587,6.689608,0.997478,0.205307,1.257450,7.567886,5.304843,
6,0.110314,0.136211,0.034701,0.012356,0.062545,0.433306,0.110965,7.804334,1.988199,0.707922,3.583551,24.826584,6.357829,
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
8,0.191038,0.162722,0.190111,0.458755,0.170544,0.010090,0.124822,9.323311,10.892532,26.284713,9.771433,0.578112,7.151797,
9,0.362165,0.926148,0.032476,0.248589,0.212022,0.241765,0.012809,53.064359,1.860721,14.243089,12.147988,13.852093,0.733913,
