time_sec,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0.000000,1.570000,-1.570000,1.569859,-1.570371,-1.570000,-1.570000
0.100000,1.566627,-1.570045,1.570215,-1.570681,-1.570011,-1.577500
0.200000,1.556507,-1.570179,1.571282,-1.571611,-1.570044,-1.600000
0.300000,1.539640,-1.570402,1.573061,-1.573160,-1.570099,-1.637500
0.400000,1.516027,-1.570714,1.575551,-1.575330,-1.570175,-1.690000
0.500000,1.485667,-1.571116,1.578753,-1.578120,-1.570274,-1.757500
0.600000,1.448561,-1.571607,1.582666,-1.581530,-1.570395,-1.840000
0.700000,1.406441,-1.572165,1.587107,-1.585400,-1.570532,-1.933646
0.800000,1.364051,-1.572726,1.591578,-1.589295,-1.570669,-2.027894
0.900000,1.321661,-1.573287,1.596048,-1.593191,-1.570807,-2.122142
1.000000,1.279270,-1.573848,1.600518,-1.597086,-1.570945,-2.216390
1.100000,1.236880,-1.574409,1.604988,-1.600981,-1.571083,-2.310637
1.200000,1.194490,-1.574970,1.609459,-1.604876,-1.571220,-2.404885
1.300000,1.152099,-1.575531,1.613929,-1.608772,-1.571358,-2.499133
1.400000,1.109709,-1.576092,1.618399,-1.612667,-1.571496,-2.593381
1.500000,1.067319,-1.576653,1.622870,-1.616562,-1.571634,-2.687629
1.600000,1.024928,-1.577214,1.627340,-1.620457,-1.571771,-2.781876
1.700000,0.982538,-1.577776,1.631810,-1.624353,-1.571909,-2.876124
1.800000,0.940148,-1.578337,1.636280,-1.628248,-1.572047,-2.970372
1.900000,0.897758,-1.578898,1.640751,-1.632143,-1.572185,-3.064620
2.000000,0.855367,-1.579459,1.645221,-1.636038,-1.572322,-3.158867
2.100000,0.812977,-1.580020,1.649691,-1.639934,-1.572460,-3.253115
2.200000,0.770587,-1.580581,1.654162,-1.643829,-1.572598,-3.347363
2.300000,0.728196,-1.581142,1.658632,-1.647724,-1.572736,-3.441611
2.400000,0.685806,-1.581703,1.663102,-1.651619,-1.572873,-3.535859
2.500000,0.643416,-1.582264,1.667572,-1.655515,-1.573011,-3.630106
2.600000,0.601026,-1.582825,1.672043,-1.659410,-1.573149,-3.724354
2.700000,0.558635,-1.583386,1.676513,-1.663305,-1.573287,-3.818602
2.800000,0.516245,-1.583947,1.680983,-1.667200,-1.573424,-3.912850
2.900000,0.473855,-1.584508,1.685453,-1.671096,-1.573562,-4.007097
3.000000,0.431464,-1.585069,1.689924,-1.674991,-1.573700,-4.101345
3.100000,0.391555,-1.585598,1.694132,-1.678658,-1.573829,-4.190077
3.200000,0.358324,-1.586037,1.697637,-1.681712,-1.573937,-4.263962
3.300000,0.331839,-1.586388,1.700430,-1.684145,-1.574024,-4.322846
3.400000,0.312101,-1.586649,1.702511,-1.685959,-1.574088,-4.366730
3.500000,0.299110,-1.586821,1.703881,-1.687153,-1.574130,-4.395614
3.600000,0.292865,-1.586904,1.704540,-1.687727,-1.574150,-4.409498
3.642561,0.292254,-1.586912,1.704604,-1.687783,-1.574152,-4.410857
