segment_id,cum_ee_m,cum_shoulder_pan_joint_rad,cum_shoulder_lift_joint_rad,cum_elbow_joint_rad,cum_wrist_1_joint_rad,cum_wrist_2_joint_rad,cum_wrist_3_joint_rad,cum_shoulder_pan_joint_deg,cum_shoulder_lift_joint_deg,cum_elbow_joint_deg,cum_wrist_1_joint_deg,cum_wrist_2_joint_deg,cum_wrist_3_joint_deg,
1,0.649743,1.438845,0.174177,0.593771,0.421507,0.000946,3.011073,82.439722,9.979599,34.020560,24.150582,0.054202,172.521781,
2,0.099268,0.008377,0.155192,0.199181,0.348127,0.004709,0.017665,0.479971,8.891858,11.412239,19.946192,0.269800,1.012137,
3,0.098940,0.008404,0.155121,0.199207,0.347954,0.004720,0.017800,0.481521,8.887770,11.413728,19.936282,0.270447,1.019880,
4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
6,0.099698,0.000122,0.152274,0.205140,0.353761,0.000219,0.000250,0.007007,8.724653,11.753679,20.269000,0.012526,0.014306,
7,0.099678,0.000073,0.152371,0.205140,0.353821,0.000035,0.000060,0.004164,8.730213,11.753666,20.272460,0.002003,0.003464,
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
10,0.099401,0.000034,0.152403,0.205067,0.353821,0.000100,0.000059,0.001962,8.732051,11.749473,20.272467,0.005737,0.003390,
11,0.099167,0.000132,0.152423,0.204984,0.353714,0.000086,0.000073,0.007556,8.733187,11.744701,20.266322,0.004919,0.004173,
12,0.908224,0.184342,1.412666,0.798993,2.213629,0.000149,0.184377,10.561997,80.939806,45.778919,126.831623,0.008516,10.564018,
13,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
