segment_id,cum_ee_m,cum_shoulder_pan_joint_rad,cum_shoulder_lift_joint_rad,cum_elbow_joint_rad,cum_wrist_1_joint_rad,cum_wrist_2_joint_rad,cum_wrist_3_joint_rad,cum_shoulder_pan_joint_deg,cum_shoulder_lift_joint_deg,cum_elbow_joint_deg,cum_wrist_1_joint_deg,cum_wrist_2_joint_deg,cum_wrist_3_joint_deg,
1,0.347202,0.471545,0.094056,0.591936,0.315996,0.056665,0.350182,27.017554,5.389004,33.915460,18.105219,3.246646,20.063942,
2,1.815099,1.217282,1.115892,1.092547,3.041265,1.703911,4.568667,69.745100,63.935879,62.598309,174.251665,97.626882,261.765338,
3,1.432653,1.493388,0.339815,1.532801,0.310561,3.471681,1.153004,85.564848,19.469959,87.823020,17.793821,198.912696,66.062278,
4,0.994641,1.032124,0.747655,0.655468,0.870992,2.239427,1.032221,59.136343,42.837488,37.555562,49.904176,128.309720,59.141901,
