segment_id,cum_ee_m,cum_shoulder_pan_joint_rad,cum_shoulder_lift_joint_rad,cum_elbow_joint_rad,cum_wrist_1_joint_rad,cum_wrist_2_joint_rad,cum_wrist_3_joint_rad,cum_shoulder_pan_joint_deg,cum_shoulder_lift_joint_deg,cum_elbow_joint_deg,cum_wrist_1_joint_deg,cum_wrist_2_joint_deg,cum_wrist_3_joint_deg,
1,0.259506,0.423180,0.152282,0.321996,0.111215,0.048928,0.318785,24.246425,8.725102,18.448987,6.372125,2.803393,18.265044,
2,0.761053,1.451637,0.227505,0.165110,0.088811,0.156138,1.101001,83.172698,13.035070,9.460089,5.088522,8.946064,63.082684,
3,0.591294,1.119713,0.046368,0.157590,0.201475,0.000860,1.119624,64.154838,2.656709,9.029244,11.543684,0.049258,64.149722,
4,0.192679,0.371914,0.031767,0.007020,0.060525,0.042176,0.283697,21.309125,1.820135,0.402241,3.467821,2.416483,16.254617,
5,0.687725,1.185076,0.070754,0.102014,0.026237,0.110619,0.907293,67.899869,4.053884,5.844962,1.503278,6.337983,51.984048,
6,0.499788,0.868362,0.149073,0.283426,0.136947,0.000862,0.868516,49.753455,8.541247,16.239121,7.846512,0.049415,49.762324,
7,0.174072,0.317464,0.052282,0.019857,0.008789,0.036557,0.242614,18.189370,2.995524,1.137736,0.503566,2.094547,13.900765,
8,0.667104,1.222441,0.076443,0.179168,0.174501,0.149022,0.919369,70.040711,4.379865,10.265564,9.998197,8.538334,52.675984,
9,0.517824,1.013108,0.000562,0.145526,0.143609,0.000739,1.012866,58.046800,0.032213,8.338035,8.228181,0.042323,58.032948,
10,0.165217,0.279932,0.110653,0.045002,0.016883,0.031160,0.213821,16.038905,6.339942,2.578420,0.967335,1.785311,12.251055,
11,0.900726,1.486514,0.360862,0.060226,0.305336,0.163219,1.124457,85.170957,20.675855,3.450706,17.494467,9.351762,64.426613,
12,0.762123,1.291667,0.230014,0.140693,0.368479,0.000831,1.291711,74.007051,13.178819,8.061124,21.112300,0.047639,74.009599,
13,0.297770,0.409627,0.300874,0.457776,0.083828,0.048641,0.307919,23.469905,17.238796,26.228649,4.803014,2.786910,17.642453,
14,0.693663,1.471872,0.242478,0.244885,0.054127,0.176820,1.108499,84.332071,13.892944,14.030896,3.101250,10.131040,63.512297,
15,0.569558,1.191145,0.093322,0.192670,0.097205,0.000774,1.191204,68.247605,5.346942,11.039182,5.569454,0.044337,68.250972,
16,0.248767,0.449753,0.203651,0.249809,0.061866,0.051624,0.345861,25.768959,11.668323,14.313019,3.544666,2.957857,19.816370,
17,0.922857,1.489623,0.115507,0.264292,0.055586,0.166638,1.126846,85.349094,6.618037,15.142797,3.184853,9.547661,64.563535,
18,0.627938,1.140878,0.104229,0.095277,0.007816,0.000886,1.141036,65.367485,5.971897,5.458949,0.447821,0.050762,65.376550,
19,0.224938,0.395988,0.126534,0.058178,0.022345,0.046308,0.301522,22.688448,7.249842,3.333374,1.280276,2.653271,17.275939,
20,0.722820,1.212907,0.295645,0.007182,0.236116,0.125169,0.923034,69.494449,16.939238,0.411500,13.528442,7.171652,52.885961,
21,0.505856,0.857205,0.176541,0.010819,0.184889,0.000746,0.857061,49.114212,10.115051,0.619895,10.593355,0.042725,49.105987,
22,0.311322,0.568557,0.099923,0.216283,0.086798,0.068936,0.428915,32.575928,5.725181,12.392127,4.973157,3.949730,24.575034,
23,0.830136,1.569272,0.131227,0.114657,0.045673,0.170331,1.189326,89.912655,7.518750,6.569381,2.616885,9.759245,68.143364,
24,0.565942,1.086381,0.027813,0.049726,0.075106,0.000859,1.086353,62.245071,1.593592,2.849094,4.303250,0.049202,62.243427,
25,0.291950,0.553684,0.012601,0.091357,0.080415,0.064216,0.419893,31.723770,0.721982,5.234358,4.607437,3.679292,24.058106,
26,0.836730,1.560389,0.017995,0.010653,0.018785,0.175825,1.180373,89.403723,1.031011,0.610377,1.076300,10.074038,67.630364,
27,0.571027,1.119520,0.000767,0.016165,0.012994,0.000822,1.119647,64.143763,0.043918,0.926201,0.744491,0.047125,64.151065,
28,0.153913,0.275164,0.121892,0.025017,0.143629,0.030375,0.209511,15.765729,6.983882,1.433346,8.229337,1.740365,12.004071,
29,0.665437,1.116537,0.065697,0.079707,0.113387,0.117400,0.850387,63.972872,3.764168,4.566900,6.496612,6.726516,48.723577,
30,0.531615,0.918054,0.155489,0.126535,0.279792,0.000892,0.918005,52.600647,8.908884,7.249945,16.030881,0.051101,52.597820,
31,0.284773,0.415925,0.146733,0.456981,0.197245,0.047524,0.311700,23.830719,8.407197,26.183067,11.301334,2.722920,17.859092,
32,0.872765,1.454897,0.400635,0.569411,0.001016,0.097601,1.124186,83.359438,22.954690,32.624835,0.058200,5.592121,64.411141,
33,0.669811,1.052767,0.306992,0.280869,0.024548,0.000785,1.052941,60.319105,17.589364,16.092612,1.406470,0.044972,60.329091,
34,0.244475,0.466029,0.012409,0.003179,0.029115,0.053829,0.355157,26.701477,0.710983,0.182129,1.668153,3.084197,20.348998,
35,0.886729,1.464436,0.196280,0.166959,0.080005,0.127386,1.124328,83.906003,11.246010,9.566027,4.583951,7.298672,64.419225,
36,0.634198,1.037400,0.253137,0.378334,0.127745,0.000831,1.037267,59.438665,14.503699,21.676935,7.319225,0.047604,59.430997,
37,0.196782,0.377434,0.056502,0.098709,0.030146,0.043693,0.288887,21.625388,3.237346,5.655623,1.727210,2.503437,16.551985,
38,0.826685,1.317505,0.155664,0.147731,0.067786,0.108299,1.014607,75.487449,8.918893,8.464365,3.883868,6.205089,58.132710,
39,0.621374,0.975756,0.310474,0.526168,0.218154,0.000719,0.975831,55.906712,17.788868,30.147211,12.499321,0.041197,55.910995,
40,0.227691,0.369393,0.032404,0.295147,0.183622,0.039965,0.278883,21.164640,1.856630,16.910699,10.520764,2.289812,15.978815,
41,0.825383,1.335327,0.368256,0.311538,0.112228,0.107040,1.028639,76.508626,21.099538,17.849803,6.430209,6.132950,58.936697,
42,0.652815,1.001535,0.333238,0.042256,0.288825,0.000838,1.001562,57.383742,19.093139,2.421065,16.548446,0.048038,57.385301,
43,0.349481,0.664842,0.062694,0.050987,0.057245,0.075472,0.506909,38.092637,3.592082,2.921323,3.279905,4.324208,29.043757,
44,1.093855,1.663004,0.247936,0.166269,0.111634,0.134796,1.281048,95.283101,14.205696,9.526514,6.396171,7.723266,73.398655,
45,0.684285,1.010682,0.394578,0.435394,0.043270,0.000742,1.010473,57.907796,22.607668,24.946216,2.479175,0.042485,57.895826,
46,0.334640,0.634924,0.085236,0.019145,0.091081,0.071516,0.483630,36.378474,4.883666,1.096949,5.218549,4.097561,27.709932,
47,0.947827,1.583784,0.041446,0.093407,0.003071,0.147344,1.211968,90.744153,2.374662,5.351844,0.175965,8.442204,69.440668,
48,0.585127,1.005189,0.179117,0.290102,0.113393,0.000827,1.005234,57.593100,10.262652,16.621628,6.496961,0.047379,57.595674,
49,0.312920,0.537625,0.205948,0.292680,0.052555,0.067997,0.404339,30.803660,11.799974,16.769328,3.011182,3.895960,23.166927,
50,0.987262,1.638981,0.515629,0.265669,0.235291,0.149951,1.253468,93.906666,29.543388,15.221740,13.481174,8.591553,71.818416,
51,0.707788,1.106118,0.326998,0.003421,0.327887,0.000892,1.106060,63.375877,18.735579,0.195996,18.786560,0.051085,63.372569,
52,0.193326,0.316336,0.104296,0.241199,0.099853,0.033371,0.239926,18.124708,5.975698,13.819704,5.721162,1.912043,13.746742,
53,0.643706,1.220302,0.153986,0.124131,0.067842,0.130420,0.927132,69.918142,8.822739,7.112190,3.887039,7.472497,53.120746,
54,0.520495,0.998858,0.021785,0.095272,0.114791,0.000840,0.998856,57.230345,1.248208,5.458710,6.577067,0.048117,57.230234,
