segment_id,cum_ee_m,cum_shoulder_pan_joint_rad,cum_shoulder_lift_joint_rad,cum_elbow_joint_rad,cum_wrist_1_joint_rad,cum_wrist_2_joint_rad,cum_wrist_3_joint_rad,cum_shoulder_pan_joint_deg,cum_shoulder_lift_joint_deg,cum_elbow_joint_deg,cum_wrist_1_joint_deg,cum_wrist_2_joint_deg,cum_wrist_3_joint_deg,
1,0.259658,0.423120,0.152252,0.321850,0.111238,0.048961,0.318865,24.242987,8.723417,18.440633,6.373470,2.805275,18.269616,
2,0.760666,1.451640,0.227478,0.165086,0.088724,0.156040,1.100957,83.172823,13.033531,9.458724,5.083496,8.940457,63.080215,
3,0.590400,1.119581,0.046432,0.157409,0.201386,0.000710,1.119617,64.147258,2.660370,9.018870,11.538567,0.040681,64.149322,
4,0.192739,0.372022,0.031928,0.006899,0.060466,0.042330,0.283757,21.315299,1.829329,0.395270,3.464428,2.425346,16.258100,
5,0.688249,1.184999,0.070797,0.101917,0.026199,0.110678,0.907333,67.895419,4.056384,5.839430,1.501115,6.341386,51.986324,
6,0.499362,0.868341,0.148922,0.283309,0.136774,0.000809,0.868489,49.752269,8.532621,16.232436,7.836598,0.046325,49.760755,
