time_sec,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0.000000,2.142334,-1.588867,1.707122,-1.689053,-1.570796,-2.570055
0.100000,2.134834,-1.588861,1.707116,-1.689053,-1.570808,-2.577531
0.200000,2.112334,-1.588843,1.707099,-1.689053,-1.570843,-2.599959
0.300000,2.074834,-1.588813,1.707069,-1.689054,-1.570902,-2.637340
0.400000,2.022334,-1.588770,1.707028,-1.689054,-1.570985,-2.689673
0.500000,1.959770,-1.588720,1.706978,-1.689054,-1.571083,-2.752039
0.600000,1.896938,-1.588669,1.706929,-1.689054,-1.571182,-2.814671
0.700000,1.834106,-1.588618,1.706879,-1.689054,-1.571281,-2.877303
0.800000,1.771274,-1.588568,1.706830,-1.689055,-1.571380,-2.939935
0.900000,1.708442,-1.588517,1.706780,-1.689055,-1.571478,-3.002567
1.000000,1.645611,-1.588466,1.706730,-1.689055,-1.571577,-3.065199
1.100000,1.582779,-1.588415,1.706681,-1.689055,-1.571676,-3.127831
1.200000,1.519947,-1.588365,1.706631,-1.689055,-1.571775,-3.190463
1.300000,1.457115,-1.588314,1.706582,-1.689055,-1.571874,-3.253095
1.400000,1.394283,-1.588263,1.706532,-1.689056,-1.571972,-3.315727
1.500000,1.331451,-1.588212,1.706482,-1.689056,-1.572071,-3.378359
1.600000,1.268619,-1.588162,1.706433,-1.689056,-1.572170,-3.440992
1.700000,1.205788,-1.588111,1.706383,-1.689056,-1.572269,-3.503624
1.800000,1.142956,-1.588060,1.706334,-1.689056,-1.572368,-3.566256
1.900000,1.080124,-1.588009,1.706284,-1.689057,-1.572466,-3.628888
2.000000,1.017292,-1.587959,1.706235,-1.689057,-1.572565,-3.691520
2.100000,0.954460,-1.587908,1.706185,-1.689057,-1.572664,-3.754152
2.200000,0.891628,-1.587857,1.706135,-1.689057,-1.572763,-3.816784
2.300000,0.828796,-1.587807,1.706086,-1.689057,-1.572862,-3.879416
2.400000,0.765965,-1.587756,1.706036,-1.689058,-1.572960,-3.942048
2.500000,0.703133,-1.587705,1.705987,-1.689058,-1.573059,-4.004680
2.600000,0.640301,-1.587654,1.705937,-1.689058,-1.573158,-4.067312
2.700000,0.577469,-1.587604,1.705888,-1.689058,-1.573257,-4.129944
2.800000,0.514637,-1.587553,1.705838,-1.689058,-1.573356,-4.192576
2.900000,0.451805,-1.587502,1.705788,-1.689059,-1.573454,-4.255208
3.000000,0.391237,-1.587453,1.705741,-1.689059,-1.573550,-4.315584
3.100000,0.344146,-1.587415,1.705704,-1.689059,-1.573624,-4.362526
3.200000,0.312054,-1.587389,1.705678,-1.689059,-1.573674,-4.394515
3.300000,0.294963,-1.587376,1.705665,-1.689059,-1.573701,-4.411552
3.363942,0.291897,-1.587373,1.705662,-1.689059,-1.573706,-4.414609
