segment_id,cum_ee_m,cum_shoulder_pan_joint_rad,cum_shoulder_lift_joint_rad,cum_elbow_joint_rad,cum_wrist_1_joint_rad,cum_wrist_2_joint_rad,cum_wrist_3_joint_rad,cum_shoulder_pan_joint_deg,cum_shoulder_lift_joint_deg,cum_elbow_joint_deg,cum_wrist_1_joint_deg,cum_wrist_2_joint_deg,cum_wrist_3_joint_deg,
1,0.259640,0.423093,0.152244,0.321922,0.111343,0.048814,0.318799,24.241418,8.722920,18.444765,6.379471,2.796861,18.265815,
2,0.760855,1.451566,0.227485,0.165096,0.088826,0.156036,1.100937,83.168628,13.033950,9.459290,5.089332,8.940209,63.079056,
3,0.590635,1.119621,0.046454,0.157839,0.202011,0.000830,1.119746,64.149548,2.661591,9.043529,11.574353,0.047571,64.156697,
4,0.192136,0.371940,0.031699,0.007050,0.060505,0.042276,0.283664,21.310565,1.816200,0.403941,3.466663,2.422252,16.252778,
5,0.688521,1.184965,0.070789,0.102036,0.026120,0.110704,0.907230,67.893517,4.055931,5.846257,1.496561,6.342875,51.980444,
6,0.499522,0.868429,0.148920,0.283450,0.136983,0.000816,0.868206,49.757344,8.532484,16.240473,7.848573,0.046752,49.744526,
7,0.173054,0.317447,0.052430,0.019719,0.008875,0.036756,0.242497,18.188363,3.004045,1.129833,0.508514,2.105955,13.894035,
8,0.667331,1.222524,0.076351,0.179158,0.174476,0.148978,0.919540,70.045493,4.374614,10.265023,9.996737,8.535792,52.685766,
9,0.517810,1.012994,0.000565,0.145598,0.143656,0.000811,1.013141,58.040271,0.032393,8.342155,8.230867,0.046447,58.048690,
10,0.165100,0.279906,0.110801,0.045078,0.017044,0.031181,0.213926,16.037429,6.348455,2.582799,0.976572,1.786524,12.257038,
11,0.900595,1.486597,0.360840,0.060300,0.305355,0.163346,1.124421,85.175735,20.674605,3.454918,17.495573,9.359019,64.424566,
12,0.761363,1.291748,0.230087,0.140882,0.368683,0.000708,1.291550,74.011717,13.182996,8.071949,21.123953,0.040593,74.000378,
13,0.297140,0.409607,0.300707,0.457843,0.083819,0.048812,0.307764,23.468762,17.229266,26.232491,4.802456,2.796696,17.633558,
14,0.694821,1.472100,0.242357,0.245020,0.054047,0.176724,1.108615,84.345141,13.886023,14.038619,3.096639,10.125559,63.518959,
15,0.569218,1.191239,0.093310,0.192807,0.097303,0.000845,1.191315,68.252983,5.346295,11.047003,5.575025,0.048400,68.257344,
16,0.248756,0.449677,0.203529,0.249788,0.061647,0.051412,0.345806,25.764608,11.661338,14.311787,3.532132,2.945704,19.813228,
