segment_id,cum_ee_m,cum_shoulder_pan_joint_rad,cum_shoulder_lift_joint_rad,cum_elbow_joint_rad,cum_wrist_1_joint_rad,cum_wrist_2_joint_rad,cum_wrist_3_joint_rad,cum_shoulder_pan_joint_deg,cum_shoulder_lift_joint_deg,cum_elbow_joint_deg,cum_wrist_1_joint_deg,cum_wrist_2_joint_deg,cum_wrist_3_joint_deg,
1,0.296412,0.572464,0.018334,0.136097,0.117157,0.001136,0.995631,32.799799,1.050461,7.797774,6.712574,0.065094,57.045466,
2,0.925116,1.850040,0.001490,0.001533,0.000129,0.003011,1.844061,105.999492,0.085390,0.087837,0.007375,0.172502,105.656890,
3,0.924311,1.850059,0.001567,0.001475,0.000039,0.003003,1.844030,106.000564,0.089807,0.084525,0.002254,0.172056,105.655155,
4,0.925588,1.850121,0.001566,0.001411,0.000129,0.002975,1.844156,106.004135,0.089718,0.080826,0.007398,0.170432,105.662335,
5,0.924092,1.850065,0.001573,0.001460,0.000062,0.002991,1.844125,106.000924,0.090108,0.083644,0.003552,0.171384,105.660595,
