time_sec,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0.000000,0.287744,-1.588867,1.707119,-1.689049,-1.570796,-4.424645
0.100000,0.295244,-1.588873,1.707125,-1.689049,-1.570784,-4.417169
0.200000,0.317744,-1.588891,1.707142,-1.689048,-1.570749,-4.394740
0.300000,0.355244,-1.588922,1.707169,-1.689047,-1.570690,-4.357360
0.400000,0.407744,-1.588965,1.707208,-1.689046,-1.570608,-4.305027
0.500000,0.470309,-1.589016,1.707255,-1.689044,-1.570510,-4.242662
0.600000,0.533140,-1.589068,1.707301,-1.689042,-1.570412,-4.180030
0.700000,0.595972,-1.589120,1.707348,-1.689040,-1.570313,-4.117398
0.800000,0.658804,-1.589171,1.707394,-1.689038,-1.570215,-4.054766
0.900000,0.721636,-1.589223,1.707441,-1.689037,-1.570116,-3.992134
1.000000,0.784468,-1.589274,1.707488,-1.689035,-1.570018,-3.929502
1.100000,0.847300,-1.589326,1.707534,-1.689033,-1.569919,-3.866870
1.200000,0.910131,-1.589378,1.707581,-1.689031,-1.569821,-3.804239
1.300000,0.972963,-1.589429,1.707628,-1.689030,-1.569723,-3.741607
1.400000,1.035795,-1.589481,1.707674,-1.689028,-1.569624,-3.678975
1.500000,1.098627,-1.589532,1.707721,-1.689026,-1.569526,-3.616343
1.600000,1.161459,-1.589584,1.707767,-1.689024,-1.569427,-3.553711
1.700000,1.224291,-1.589636,1.707814,-1.689022,-1.569329,-3.491079
1.800000,1.287123,-1.589687,1.707861,-1.689021,-1.569230,-3.428447
1.900000,1.349954,-1.589739,1.707907,-1.689019,-1.569132,-3.365816
2.000000,1.412786,-1.589790,1.707954,-1.689017,-1.569033,-3.303184
2.100000,1.475618,-1.589842,1.708000,-1.689015,-1.568935,-3.240552
2.200000,1.538450,-1.589894,1.708047,-1.689014,-1.568836,-3.177920
2.300000,1.601282,-1.589945,1.708094,-1.689012,-1.568738,-3.115288
2.400000,1.664114,-1.589997,1.708140,-1.689010,-1.568640,-3.052656
2.500000,1.726946,-1.590048,1.708187,-1.689008,-1.568541,-2.990024
2.600000,1.789777,-1.590100,1.708233,-1.689007,-1.568443,-2.927392
2.700000,1.852609,-1.590152,1.708280,-1.689005,-1.568344,-2.864761
2.800000,1.915441,-1.590203,1.708327,-1.689003,-1.568246,-2.802129
2.900000,1.978273,-1.590255,1.708373,-1.689001,-1.568147,-2.739497
3.000000,2.038857,-1.590305,1.708418,-1.689000,-1.568052,-2.679106
3.100000,2.085977,-1.590343,1.708453,-1.688998,-1.567979,-2.632136
3.200000,2.118097,-1.590370,1.708477,-1.688997,-1.567928,-2.600118
3.300000,2.135217,-1.590384,1.708490,-1.688997,-1.567901,-2.583053
3.364133,2.138302,-1.590386,1.708492,-1.688997,-1.567897,-2.579978
