time_sec,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0.000000,2.142335,-1.588866,1.707119,-1.689048,-1.570796,-2.570055
0.100000,2.134835,-1.588860,1.707113,-1.689049,-1.570808,-2.577530
0.200000,2.112335,-1.588841,1.707096,-1.689051,-1.570845,-2.599958
0.300000,2.074835,-1.588809,1.707067,-1.689053,-1.570905,-2.637337
0.400000,2.022335,-1.588765,1.707027,-1.689057,-1.570989,-2.689668
0.500000,1.959770,-1.588712,1.706980,-1.689061,-1.571090,-2.752030
0.600000,1.896938,-1.588659,1.706932,-1.689066,-1.571191,-2.814660
0.700000,1.834106,-1.588605,1.706884,-1.689070,-1.571292,-2.877289
0.800000,1.771275,-1.588552,1.706836,-1.689074,-1.571393,-2.939918
0.900000,1.708443,-1.588499,1.706788,-1.689079,-1.571494,-3.002547
1.000000,1.645611,-1.588446,1.706740,-1.689083,-1.571595,-3.065177
1.100000,1.582779,-1.588393,1.706692,-1.689087,-1.571696,-3.127806
1.200000,1.519947,-1.588340,1.706644,-1.689092,-1.571797,-3.190435
1.300000,1.457115,-1.588286,1.706596,-1.689096,-1.571898,-3.253064
1.400000,1.394283,-1.588233,1.706549,-1.689101,-1.571999,-3.315694
1.500000,1.331452,-1.588180,1.706501,-1.689105,-1.572100,-3.378323
1.600000,1.268620,-1.588127,1.706453,-1.689109,-1.572201,-3.440952
1.700000,1.205788,-1.588074,1.706405,-1.689114,-1.572302,-3.503581
1.800000,1.142956,-1.588020,1.706357,-1.689118,-1.572403,-3.566211
1.900000,1.080124,-1.587967,1.706309,-1.689123,-1.572504,-3.628840
2.000000,1.017292,-1.587914,1.706261,-1.689127,-1.572605,-3.691469
2.100000,0.954460,-1.587861,1.706213,-1.689131,-1.572706,-3.754098
2.200000,0.891629,-1.587808,1.706165,-1.689136,-1.572807,-3.816728
2.300000,0.828797,-1.587755,1.706117,-1.689140,-1.572908,-3.879357
2.400000,0.765965,-1.587701,1.706069,-1.689144,-1.573009,-3.941986
2.500000,0.703133,-1.587648,1.706022,-1.689149,-1.573110,-4.004615
2.600000,0.640301,-1.587595,1.705974,-1.689153,-1.573211,-4.067245
2.700000,0.577469,-1.587542,1.705926,-1.689158,-1.573312,-4.129874
2.800000,0.514637,-1.587489,1.705878,-1.689162,-1.573413,-4.192503
2.900000,0.451806,-1.587436,1.705830,-1.689166,-1.573514,-4.255133
3.000000,0.391230,-1.587384,1.705784,-1.689171,-1.573612,-4.315513
3.100000,0.344124,-1.587344,1.705748,-1.689174,-1.573688,-4.362466
3.200000,0.312019,-1.587317,1.705723,-1.689176,-1.573739,-4.394468
3.300000,0.294914,-1.587303,1.705710,-1.689177,-1.573767,-4.411518
3.364035,0.291839,-1.587300,1.705708,-1.689178,-1.573772,-4.414584
