segment_id,cum_ee_m,cum_shoulder_pan_joint_rad,cum_shoulder_lift_joint_rad,cum_elbow_joint_rad,cum_wrist_1_joint_rad,cum_wrist_2_joint_rad,cum_wrist_3_joint_rad,cum_shoulder_pan_joint_deg,cum_shoulder_lift_joint_deg,cum_elbow_joint_deg,cum_wrist_1_joint_deg,cum_wrist_2_joint_deg,cum_wrist_3_joint_deg,
1,0.649825,1.438873,0.174186,0.593816,0.421580,0.000875,3.011118,82.441342,9.980135,34.023138,24.154747,0.050129,172.524370,
2,0.099293,0.008333,0.155211,0.199277,0.348062,0.004733,0.017842,0.477424,8.892915,11.417741,19.942507,0.271161,1.022294,
3,0.907087,0.184242,1.370388,0.839235,2.209769,0.000010,0.184146,10.556295,78.517431,48.084612,126.610438,0.000572,10.550810,
4,0.100412,0.002030,0.206387,0.188244,0.015663,0.001492,0.002443,0.116322,11.825084,10.785564,0.897432,0.085476,0.139975,
