segment_id,cum_ee_m,cum_shoulder_pan_joint_rad,cum_shoulder_lift_joint_rad,cum_elbow_joint_rad,cum_wrist_1_joint_rad,cum_wrist_2_joint_rad,cum_wrist_3_joint_rad,cum_shoulder_pan_joint_deg,cum_shoulder_lift_joint_deg,cum_elbow_joint_deg,cum_wrist_1_joint_deg,cum_wrist_2_joint_deg,cum_wrist_3_joint_deg,
1,0.553432,1.014428,0.050407,0.459267,0.219118,0.353924,1.915446,58.122443,2.888122,26.314059,12.554522,20.278372,109.746951,
2,0.128747,0.276733,0.126621,0.025736,0.123397,0.032255,0.741847,15.855634,7.254837,1.474541,7.070126,1.848047,42.504688,
3,0.128722,0.276671,0.126556,0.025708,0.123214,0.032137,0.741676,15.852083,7.251137,1.472941,7.059659,1.841324,42.494884,
4,0.726417,1.509985,0.286869,0.008640,0.041638,0.478839,0.593826,86.515771,16.436392,0.495028,2.385702,27.435481,34.023714,
5,0.136790,0.316743,0.012674,0.164247,0.020614,0.062267,0.306830,18.148060,0.726150,9.410651,1.181097,3.567630,17.580057,
6,0.137531,0.316819,0.012510,0.164248,0.020457,0.062187,0.306742,18.152409,0.716775,9.410744,1.172097,3.563039,17.575020,
7,0.745003,1.621146,0.227774,0.128724,0.224902,0.328402,1.003763,92.884821,13.050505,7.375362,12.885964,18.816072,57.511380,
8,0.154504,0.337954,0.047785,0.036778,0.066891,0.003422,0.447280,19.363366,2.737862,2.107222,3.832549,0.196077,25.627273,
9,0.154046,0.337886,0.047896,0.036710,0.066717,0.003464,0.447105,19.359444,2.744229,2.103301,3.822616,0.198475,25.617238,
10,0.692158,1.492445,0.326751,0.000756,0.135188,0.407041,0.807919,85.510791,18.721455,0.043330,7.745717,23.321720,46.290362,
11,0.143942,0.373684,0.037563,0.215525,0.033104,0.043904,0.397166,21.410534,2.152178,12.348644,1.896700,2.515529,22.755919,
12,0.144029,0.373832,0.037470,0.215539,0.033163,0.043910,0.397372,21.419014,2.146865,12.349501,1.900104,2.515869,22.767747,
