segment_id,cum_ee_m,cum_shoulder_pan_joint_rad,cum_shoulder_lift_joint_rad,cum_elbow_joint_rad,cum_wrist_1_joint_rad,cum_wrist_2_joint_rad,cum_wrist_3_joint_rad,cum_shoulder_pan_joint_deg,cum_shoulder_lift_joint_deg,cum_elbow_joint_deg,cum_wrist_1_joint_deg,cum_wrist_2_joint_deg,cum_wrist_3_joint_deg,
1,0.259526,0.422994,0.152140,0.321716,0.111606,0.048941,0.318858,24.235792,8.716953,18.432991,6.394563,2.804110,18.269209,
2,1.506117,1.897189,0.345941,1.858942,1.045368,1.138536,3.189769,108.700950,19.820940,106.509558,59.895196,65.233283,182.760325,
3,0.943153,1.119673,0.070638,1.361799,0.201597,0.129070,1.119777,64.152561,4.047232,78.025357,11.550683,7.395176,64.158512,
4,0.192471,0.372011,0.031773,0.006959,0.060482,0.042337,0.283720,21.314662,1.820462,0.398716,3.465342,2.425728,16.255955,
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
6,0.048027,0.046466,0.090133,0.031954,0.007728,0.007700,0.033464,2.662284,5.164265,1.830809,0.442783,0.441178,1.917362,
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
8,0.033920,0.030814,0.070080,0.116572,0.054017,0.008190,0.021127,1.765515,4.015277,6.679067,3.094949,0.469252,1.210485,
9,1.241279,1.486341,0.872236,0.582906,2.625115,0.617551,1.124163,85.161066,49.975424,33.398070,150.408023,35.383088,64.409815,
10,0.001839,0.000000,0.000104,0.000255,0.000358,0.000000,0.000000,0.000000,0.005937,0.014601,0.020538,0.000000,0.000000,
11,1.296579,1.141109,0.891462,1.002845,2.100624,0.228680,0.871518,65.380746,51.077000,57.458757,120.356899,13.102395,49.934294,
12,1.024498,1.472010,0.243011,0.544747,1.087103,0.887624,1.108431,84.339975,13.923483,31.211721,62.286390,50.857100,63.508436,
13,0.000000,0.000000,0.000069,0.000745,0.000814,0.000000,0.000000,0.000000,0.003936,0.042673,0.046610,0.000000,0.000000,
14,1.167507,1.523191,0.954866,0.976938,0.411745,1.620205,2.145642,87.272440,54.709794,55.974406,23.591261,92.830881,122.936229,
15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
16,0.161018,0.010461,0.335405,0.376568,0.015781,0.018347,0.002067,0.599349,19.217297,21.575731,0.904172,1.051182,0.118423,
17,0.405584,0.745922,0.168990,0.008160,0.151584,0.268355,0.567127,42.738173,9.682391,0.467510,8.685150,15.375636,32.493975,
