segment_id,cum_ee_m,cum_shoulder_pan_joint_rad,cum_shoulder_lift_joint_rad,cum_elbow_joint_rad,cum_wrist_1_joint_rad,cum_wrist_2_joint_rad,cum_wrist_3_joint_rad,cum_shoulder_pan_joint_deg,cum_shoulder_lift_joint_deg,cum_elbow_joint_deg,cum_wrist_1_joint_deg,cum_wrist_2_joint_deg,cum_wrist_3_joint_deg,
1,0.319391,0.466422,0.166765,0.509144,0.213639,0.056532,0.348263,26.724026,9.554935,29.171776,12.240628,3.239052,19.954005,
2,0.876099,1.490952,0.423971,0.521639,0.033653,0.110380,1.149057,85.425252,24.291738,29.887689,1.928158,6.324320,65.836110,
3,0.647862,1.032048,0.285315,0.101660,0.181559,0.000741,1.031977,59.131982,16.347320,5.824699,10.402573,0.042438,59.127921,
4,0.259351,0.423076,0.152284,0.321669,0.111455,0.048987,0.318766,24.240495,8.725213,18.430278,6.385875,2.806758,18.263963,
5,0.760995,1.451631,0.227534,0.165124,0.088836,0.156029,1.101136,83.172344,13.036722,9.460889,5.089909,8.939824,63.090466,
6,0.590559,1.119716,0.046335,0.157312,0.201205,0.000702,1.119664,64.154981,2.654816,9.013303,11.528219,0.040205,64.152047,
7,0.192719,0.371973,0.031681,0.007017,0.060550,0.042293,0.283646,21.312466,1.815214,0.402065,3.469246,2.423188,16.251736,
8,0.688980,1.185151,0.070854,0.102048,0.026072,0.110653,0.907380,67.904176,4.059613,5.846932,1.493798,6.339947,51.989044,
9,0.500522,0.868513,0.149001,0.283515,0.136848,0.000734,0.868556,49.762142,8.537104,16.244199,7.840841,0.042071,49.764594,
10,0.173366,0.317322,0.052370,0.019824,0.008789,0.036772,0.242616,18.181198,3.000559,1.135811,0.503562,2.106893,13.900892,
11,0.667272,1.222517,0.076399,0.179225,0.174489,0.148990,0.919438,70.045045,4.377356,10.268808,9.997463,8.536494,52.679896,
12,0.518004,1.013020,0.000530,0.145688,0.143820,0.000696,1.012953,58.041784,0.030386,8.347293,8.240259,0.039902,58.037923,
13,0.165658,0.279979,0.110802,0.045070,0.016816,0.031194,0.213951,16.041643,6.348506,2.582312,0.963508,1.787272,12.258487,
14,0.900101,1.486407,0.360811,0.060144,0.305164,0.163198,1.124158,85.164841,20.672965,3.446006,17.484637,9.350560,64.409528,
15,0.761304,1.291678,0.230182,0.140883,0.368596,0.000736,1.291763,74.007677,13.188449,8.071999,21.119014,0.042177,74.012550,
16,0.296805,0.409763,0.300734,0.458023,0.083956,0.048628,0.308039,23.477667,17.230772,26.242765,4.810331,2.786179,17.649312,
17,0.694304,1.472153,0.242434,0.245029,0.054005,0.176726,1.108570,84.348143,13.890427,14.039129,3.094270,10.125629,63.516379,
18,0.569258,1.191397,0.093300,0.192665,0.097178,0.000709,1.191399,68.261994,5.345724,11.038910,5.567861,0.040600,68.262126,
19,0.246983,0.449234,0.203493,0.249510,0.061687,0.051510,0.345553,25.739222,11.659306,14.295870,3.534395,2.951303,19.798728,
20,0.922722,1.489894,0.115843,0.265037,0.056350,0.166555,1.126930,85.364632,6.637339,15.185494,3.228617,9.542872,64.568318,
