segment_id,cum_ee_m,cum_shoulder_pan_joint_rad,cum_shoulder_lift_joint_rad,cum_elbow_joint_rad,cum_wrist_1_joint_rad,cum_wrist_2_joint_rad,cum_wrist_3_joint_rad,cum_shoulder_pan_joint_deg,cum_shoulder_lift_joint_deg,cum_elbow_joint_deg,cum_wrist_1_joint_deg,cum_wrist_2_joint_deg,cum_wrist_3_joint_deg,
1,0.347397,0.471560,0.093996,0.591904,0.316204,0.056593,0.350265,27.018371,5.385571,33.913603,18.117137,3.242513,20.068721,
2,0.860672,1.803418,0.145384,0.228291,0.027997,0.219049,1.354178,103.328254,8.329882,13.080128,1.604115,12.550563,77.588708,
3,0.755382,1.516438,0.014630,0.459765,0.443079,0.000796,1.516438,86.885493,0.838211,26.342586,25.386569,0.045626,86.885486,
4,0.347357,0.471511,0.093986,0.591843,0.316171,0.056587,0.350229,27.015575,5.385015,33.910094,18.115263,3.242179,20.066642,
5,0.860729,1.803416,0.145385,0.228279,0.027967,0.219046,1.354178,103.328116,8.329971,13.079406,1.602408,12.550413,77.588697,
6,0.756126,1.516502,0.014670,0.459899,0.443238,0.000796,1.516502,86.889165,0.840510,26.350270,25.395656,0.045626,86.889159,
7,0.347395,0.471557,0.093995,0.591900,0.316202,0.056592,0.350263,27.018200,5.385538,33.913388,18.117021,3.242494,20.068594,
8,0.860682,1.803431,0.145383,0.228287,0.027982,0.219049,1.354190,103.328972,8.329807,13.079865,1.603266,12.550587,77.589389,
9,0.755333,1.516440,0.014651,0.459910,0.443259,0.000793,1.516433,86.885613,0.839456,26.350930,25.396881,0.045411,86.885195,
