time_sec,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0.000000,1.570000,-1.570000,1.569859,-1.570371,-1.570000,-1.570000
0.100000,1.574313,-1.570138,1.570885,-1.571255,-1.570009,-1.577500
0.200000,1.587253,-1.570554,1.573960,-1.573906,-1.570035,-1.600000
0.300000,1.608820,-1.571245,1.579087,-1.578325,-1.570078,-1.637500
0.400000,1.639013,-1.572214,1.586264,-1.584512,-1.570139,-1.690000
0.500000,1.677833,-1.573460,1.595491,-1.592466,-1.570217,-1.757500
0.600000,1.725279,-1.574982,1.606769,-1.602188,-1.570312,-1.840000
0.700000,1.779136,-1.576710,1.619571,-1.613223,-1.570421,-1.933646
0.800000,1.833338,-1.578449,1.632455,-1.624330,-1.570530,-2.027894
0.900000,1.887541,-1.580188,1.645339,-1.635436,-1.570639,-2.122142
1.000000,1.941743,-1.581927,1.658223,-1.646542,-1.570748,-2.216390
1.100000,1.995150,-1.583640,1.670918,-1.657485,-1.570855,-2.309253
1.200000,2.041333,-1.585122,1.681896,-1.666949,-1.570948,-2.389557
1.300000,2.078890,-1.586327,1.690823,-1.674644,-1.571024,-2.454861
1.400000,2.107820,-1.587255,1.697700,-1.680572,-1.571082,-2.505165
1.500000,2.128124,-1.587906,1.702526,-1.684732,-1.571123,-2.540469
1.600000,2.139800,-1.588281,1.705302,-1.687125,-1.571147,-2.560773
1.685359,2.142943,-1.588382,1.706049,-1.687769,-1.571153,-2.566238
