time_sec,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0.000000,0.287744,-1.588866,1.707119,-1.689049,-1.570796,-4.424645
0.100000,0.295244,-1.588873,1.707125,-1.689049,-1.570784,-4.417169
0.200000,0.317744,-1.588892,1.707143,-1.689049,-1.570748,-4.394743
0.300000,0.355244,-1.588924,1.707173,-1.689050,-1.570687,-4.357365
0.400000,0.407744,-1.588968,1.707215,-1.689051,-1.570602,-4.305036
0.500000,0.470309,-1.589021,1.707265,-1.689053,-1.570500,-4.242675
0.600000,0.533140,-1.589074,1.707315,-1.689054,-1.570398,-4.180048
0.700000,0.595972,-1.589128,1.707365,-1.689055,-1.570296,-4.117421
0.800000,0.658804,-1.589181,1.707415,-1.689057,-1.570194,-4.054794
0.900000,0.721636,-1.589234,1.707465,-1.689058,-1.570092,-3.992167
1.000000,0.784468,-1.589287,1.707515,-1.689059,-1.569990,-3.929540
1.100000,0.847300,-1.589341,1.707565,-1.689061,-1.569888,-3.866913
1.200000,0.910132,-1.589394,1.707615,-1.689062,-1.569786,-3.804286
1.300000,0.972963,-1.589447,1.707665,-1.689063,-1.569684,-3.741658
1.400000,1.035795,-1.589500,1.707716,-1.689065,-1.569582,-3.679031
1.500000,1.098627,-1.589553,1.707766,-1.689066,-1.569480,-3.616404
1.600000,1.161459,-1.589607,1.707816,-1.689067,-1.569378,-3.553777
1.700000,1.224291,-1.589660,1.707866,-1.689069,-1.569276,-3.491150
1.800000,1.287123,-1.589713,1.707916,-1.689070,-1.569174,-3.428523
1.900000,1.349955,-1.589766,1.707966,-1.689071,-1.569072,-3.365896
2.000000,1.412786,-1.589820,1.708016,-1.689073,-1.568970,-3.303269
2.100000,1.475618,-1.589873,1.708066,-1.689074,-1.568868,-3.240642
2.200000,1.538450,-1.589926,1.708116,-1.689075,-1.568766,-3.178014
2.300000,1.601282,-1.589979,1.708166,-1.689077,-1.568664,-3.115387
2.400000,1.664114,-1.590033,1.708217,-1.689078,-1.568562,-3.052760
2.500000,1.726946,-1.590086,1.708267,-1.689079,-1.568460,-2.990133
2.600000,1.789777,-1.590139,1.708317,-1.689081,-1.568358,-2.927506
2.700000,1.852609,-1.590192,1.708367,-1.689082,-1.568256,-2.864879
2.800000,1.915441,-1.590246,1.708417,-1.689083,-1.568154,-2.802252
2.900000,1.978273,-1.590299,1.708467,-1.689085,-1.568052,-2.739625
3.000000,2.038860,-1.590350,1.708515,-1.689086,-1.567954,-2.679236
3.100000,2.085984,-1.590390,1.708553,-1.689087,-1.567877,-2.632265
3.200000,2.118108,-1.590417,1.708579,-1.689088,-1.567825,-2.600245
3.300000,2.135233,-1.590432,1.708592,-1.689088,-1.567798,-2.583176
3.364163,2.138320,-1.590434,1.708595,-1.689088,-1.567793,-2.580099
